title,url,location,price,property_type,posted_by,description,Extracted_Locality,Exact_Price,BHK_List,Cleaned_Area,Price_Per_Sqft,Zone,Score_Area,Score_Price,Score_BHK_Liv,Score_BHK_Inv,Score_Zone_Liv,Score_Zone_Inv,Score_Keywords,Locality_Freq,Score_Locality,Livability_Score,Investment_Score,Recommendation_Score
Signature Premier,https://www.99acres.com/signature-premier-sarjapur-road-bangalore-east-npxid-r435540,"in Sarjapur Road, Bangalore",₹1.2 - 1.27 Cr,3 BHK Apartment,Signature Dwellings,"Choose your dream home from the wide variety of 3 BHK apartments in Sarjapur Road, available for sale in Signature Premier. The housing society is RERA-registered with PRM/KA/RERA/1251/308/PR/050425/007652 registration number. This society offers apartments in the price range of Rs. 1.2 - 1.27 Cr. Signature Premier apartments are available in multiples sizes, ranging from 1,600 - 1,690 sqft SUPER area",Sarjapur,12350000,[3],1690,7307.69,East,2.67310252996005,8.0942858962909,9,9,7.5,9.5,0,272,10,55,82,68.5
Satyam Varad,https://www.99acres.com/satyam-varad-kammasandra-bangalore-south-npxid-r426987,"in Kammasandra, Electronic City","₹78.94 - 93.51 L, ₹1.07 - 1.09 Cr","2, 3 BHK Apartment",Satyam Builders and Developers,"Spacious 2,3 BHK apartments in Kammasandra are available for sale.Check out latest property options at Satyam Varad housing society. Satyam Varad is a RERA- registered society and PRM/KA/RERA/1251/310/PR/280324/006731 is the RERA registration number. Here units have different sizes, mostly in range of 1,140 - 1,572 sqft SUPER area. This society offers apartments in the price range of Rs. 78.94 L - 1.09 Cr",Electronic City,9711250,"[2, 3]",1572,6177.64,South,2.29899816118192,8.81559084644518,9,9,9.2,8.2,0,50,1.80811808118081,57.8,67,62.4
Mahaveer Highlands,https://www.99acres.com/mahaveer-highlands-kengeri-bangalore-west-npxid-r399160,"in Kengeri, Bangalore","₹83.22 L - 1.05 Cr, ₹1.21 - 1.23 Cr","2, 3 BHK Apartment",Mahaveer Group,"Finest 2,3 BHK apartments in Kengeri available for sale in Mahaveer Highlands. Mahaveer Highlands has apartments in multiple configurations, in range of 964 - 1,447 sqft. This society offers apartments in the price range of Rs. 83.22 L - 1.23 Cr. Mahaveer Highlands 's RERA registration number is PRM/KA/RERA/1251/310/PR/220922/005266",Kengeri,10805500,"[2, 3]",1447,7467.52,West,1.90270116035762,7.99226725093612,9,9,6.8,7.4,0,44,1.58671586715867,50.8,61.8,56.3
DSR Elixir,https://www.99acres.com/dsr-elixir-whitefield-bangalore-east-npxid-r374970,"in Whitefield, Bangalore","₹3 - 4.81 Cr, ₹4.07 - 5.29 Cr","4, 5 BHK Villa",DSR Infra Projects Bangalore,"Located in Whitefield, DSR Elixir is now offering 4,5 BHK Villa for sale. These Villas are sized between 3,376 - 5,949 sqft. DSR Elixir is already Under Construction .Families will start moving in their Villas from Dec, 2025. Prices of Villas in DSR Elixir hover between Rs. 3 - 5.29 Cr",Whitefield,42925000,"[4, 5]",5949,7215.5,East,10,8.15313028667603,10,6,7.5,9.5,-0.5,179,6.56826568265683,82.7,72,77.4
NBR Soul of the Seasons,https://www.99acres.com/nbr-soul-of-the-seasons-sarjapur-road-bangalore-east-npxid-r437310,"in Sarjapur Road, Bangalore",₹1.54 - 1.94 Cr,3 BHK Apartment,NBR Group Bangalore,"Here are beautifully built 3 BHK apartments in Sarjapur Road, available for sale at NBR Soul of the Seasons. Apartments in this complex are available in price range of Rs. 1.54 - 1.94 Cr. NBR Soul of the Seasons has apartments in multiple configurations, in range of 1,446 - 1,826 sqft. NBR Soul of the Seasons 's RERA registration number is PRM/KA/RERA/1251/310/PR/190625/007855",Sarjapur,17400000,[3],1826,9529.03,East,3.10427366685689,6.67641629939188,9,9,7.5,9.5,0,272,10,55,78.4,66.7
Global Edifice Orlean,https://www.99acres.com/global-edifice-orlean-electronic-city-phase-2-bangalore-south-npxid-r435866,"in Electronic City Phase 2, Bangalore","₹79.3 L, ₹86.11 - 98.15 L","2, 3 BHK Apartment",Global Edifice Builders,"Beautiful 2,3 BHK apartments in Electronic City Phase 2, are now available in Global Edifice Orlean housing project. Global Edifice Orlean is a RERA- registered society and PRM/KA/RERA/1251/308/PR/071224/007275 is the RERA registration number. Global Edifice Orlean has apartments in multiple configurations, in range of 1,220 - 1,590 sqft. This society offers apartments in the price range of Rs. 79.3 - 98.15 L",Electronic City Phase 2,8571500,"[2, 3]",1590,5390.88,South,2.35606492930062,9.31777560161831,9,9,9.2,8.2,0,10,0.33210332103321,58.5,66,62.2
Mahaveer Palatium,https://www.99acres.com/mahaveer-palatium-mahanthalingapura-bangalore-south-npxid-r63835,"in Mahanthalingapura, Near Jigani, Bangalore",₹44.75 - 86.75 L,Land,Mahaveer Group,"This is your chance to invest in Land in Mahanthalingapura. Check out Mahaveer Palatium, one of the best offerings in the area that too within your price range. This is your chance to invest in Land in Mahanthalingapura. Check out Mahaveer Palatium, one of the best offerings in the area that too within your price range. Homebuyers can enjoy amenities such as Swimming Pool, Gymnasium and Club House in this project. Land prices in projectName vary in the range of Rs. 44.75 - 86.75 L",Jigani,6575000,[],4057,1620.66,South,10,10,5,5,9.2,8.2,2,14,0.479704797047971,77.9,63.9,70.9
VIHA by ROAHA INFRA,https://www.99acres.com/viha-by-roaha-infra-sarjapur-bangalore-east-npxid-r439449,"in Sarjapur, Bangalore","₹1.72 Cr, ₹2.24 Cr","3, 4 BHK Villa",Roaha Infra,"VIHA by ROAHA INFRA is one of the well-known housing society, offering 3,4 BHK Villa for sale in Sarjapur. Villas size in VIHA by ROAHA INFRA varies from 2,240 - 2,737 sqft. VIHA by ROAHA INFRA is a New Launch project .These Villas possession will begin in Dec, 2029. Swimming Pool, Gymnasium and Club House are some of the major amenities offered here",Sarjapur,19800000,"[3, 4]",2737,7234.2,East,5.99248620886437,8.14119417538194,10,9,7.5,9.5,2,272,10,71.1,84.1,77.6
Candeur Novo Gardenia,https://www.99acres.com/candeur-novo-gardenia-varthur-bangalore-east-npxid-r423949,"in Varthur, Bangalore","₹1.09 - 1.16 Cr, ₹1.35 - 1.61 Cr","2, 3 BHK Apartment",Candeur Constructions,"Candeur Novo Gardenia, one of the known housing societes in Bangalore East, brings classic yet modern 2,3 BHK apartments in Varthur. Apartments in this complex are available in price range of Rs. 1.09 - 1.61 Cr. Candeur Novo Gardenia has apartments in multiple configurations, in range of 1,210 - 1,790 sqft. Candeur Novo Gardenia is a RERA- registered society and PRM/KA/RERA/1251/309/PR/070324/006697 is the RERA registration number",Varthur,13025000,"[2, 3]",1790,7276.54,East,2.99014013061949,8.11416877686902,9,9,7.5,9.5,0,84,3.06273062730627,56.1,71.6,63.8
Sowparnika Rhythm of Rain,https://www.99acres.com/sowparnika-rhythm-of-rain-whitefield-bangalore-east-npxid-r439468,"in Whitefield, Bangalore","₹49 - 49.72 L, ₹91.18 L - 1.12 Cr, ₹1.16 - 1.55 Cr","1, 2, 3 BHK Apartment",Sowparnika Projects,"Finest 1,2,3 BHK apartments in Whitefield available for sale in Sowparnika Rhythm of Rain. Apartments in Sowparnika Rhythm of Rain have SUPER area ranging between 543 - 1,601 sqft. The housing society is RERA-registered with PRM/KA/RERA/1250/304/PR/290125/007454 registration number. This society offers apartments in the price range of Rs. 49 L - 1.55 Cr",Whitefield,9548333,"[1, 2, 3]",1601,5963.98,East,2.39093906537315,8.95196889666417,9,9,7.5,9.5,0,179,6.56826568265683,54.8,79,66.9
Sunny Groves by Cynosure Homez,https://www.99acres.com/sunny-groves-by-cynosure-homez-sarjapur-road-bangalore-east-npxid-r436435,"in Sarjapur Road, Bangalore","₹88.63 L, ₹1.08 - 1.35 Cr, ₹2.65 Cr","2, 3, 4 BHK Apartment",Cynosure Homez,"Looking for your dream home? Explore 2,3,4 BHK apartments in Sarjapur Road, now available in Sunny Groves by Cynosure Homez. Apartments in Sunny Groves by Cynosure Homez have SUPER area ranging between 1,122 - 3,350 sqft. Apartment prices in this housing society vary in the range of Rs. 88.63 L - 2.65 Cr. Sunny Groves by Cynosure Homez is a RERA- registered society and PRM/KA/RERA/1251/308/PR/170325/007589 is the RERA registration number",Sarjapur,15837667,"[2, 3, 4]",3350,4727.66,East,7.93592670090673,9.74110542688385,10,9,7.5,9.5,0,272,10,77.5,86.1,81.8
Assetz Zen and Sato,https://www.99acres.com/assetz-zen-and-sato-yelahanka-bangalore-north-npxid-r443564,"in Yelahanka, Bangalore","₹2.7 - 2.76 Cr, ₹3.7 Cr","3, 4 BHK Apartment",Assetz Property Group,"Check out 3,4 BHK apartments in Yelahanka, now available for sale at Assetz Zen and Sato. Assetz Zen and Sato apartments are available in multiples sizes, ranging from 2,159 - 2,955 sqft SUPER area. Assetz Zen and Sato 's RERA registration number is PRM/KA/RERA/1251/472/PR/080525/007728. Apartment prices in this housing society vary in the range of Rs. 2.7 - 3.7 Cr",Yelahanka,32150000,"[3, 4]",2955,10879.86,North,6.68362817830195,5.81418864060075,10,9,8,9.3,0,71,2.5830258302583,70.2,64.5,67.4
SB Urban Park,https://www.99acres.com/sb-urban-park-thanisandra-bangalore-north-npxid-r424806,"in Thanisandra, Bangalore","₹1.97 - 2.5 Cr, ₹3.68 - 3.7 Cr","3, 4 BHK Apartment",SB Urbanscapes,"Choose your dream home from the wide variety of 3,4 BHK apartments in Thanisandra, available for sale in SB Urban Park. Prices of apartments in this project, vary between Rs. 1.97 - 3.7 Cr. SB Urban Park is a RERA- registered society and PRM/KA/RERA/1251/309/PR/200224/006647 is the RERA registration number. SB Urban Park apartments are available in multiples sizes, ranging from 1,605 - 3,070 sqft SUPER area",Thanisandra,29625000,"[3, 4]",3070,9649.84,North,7.0482214190603,6.5993039140743,10,9,8,9.3,1.5,51,1.8450184501845,73.8,66.8,70.3
Binary Etania,https://www.99acres.com/binary-etania-sarjapur-road-bangalore-east-npxid-r450741,"in Sarjapur Road, Bangalore","₹1.01 Cr, ₹1.3 - 1.32 Cr","2, 3 BHK Apartment",Binary Ventures,"Binary Etania society now offers elegantly built 3 BHK apartments in Sarjapur Road. Binary Etania is a RERA- registered society and PRM/KA/RERA/1251/308/PR/060825/007982 is the RERA registration number. Apartments in Binary Etania have SUPER area ranging between 1,639 - 1,652 sqft. Prices of apartments in this project, vary between Rs. 1.3 - 1.32 Cr",Sarjapur,11600000,"[2, 3]",1652,7021.79,East,2.55262824170947,8.27677435719892,9,9,7.5,9.5,0,272,10,54.7,82.4,68.6
Concorde Neo,https://www.99acres.com/concorde-neo-thanisandra-main-road-bangalore-north-npxid-r434535,"in Thanisandra Main Road, Bangalore North","₹99 L - 1.09 Cr, ₹1.3 - 1.35 Cr","2, 3 BHK Apartment",Concorde,"Beautiful 2,3 BHK apartments in Thanisandra Main Road, are now available in Concorde Neo housing project. Apartments in this complex are available in price range of Rs. 99 L - 1.35 Cr. Here units have different sizes, mostly in range of 1,125 - 1,539 sqft SUPER area. This society is RERA approved and PRM/KA/RERA/1251/309/PR/270924/007088 is the RERA number",Thanisandra,11825000,"[2, 3]",1539,7683.56,North,2.1943757529643,7.85437005927971,9,9,8,9.3,0,51,1.8450184501845,54,68.5,61.2
Provident Botanico,https://www.99acres.com/provident-botanico-soukya-road-bangalore-east-npxid-r424433,"in Soukya Road, Whitefield, Bangalore","₹90.99 L - 1.17 Cr, ₹1.31 - 1.46 Cr","2, 3 BHK Apartment",Provident Housing,"Provident Botanico society now offers elegantly built 2,3 BHK apartments in Soukya Road. This society offers apartments in the price range of Rs. 90.99 L - 1.46 Cr. Here units have different sizes, mostly in range of 658 - 1,003 sqft CARPET area. The housing society is RERA-registered with PRM/KA/RERA/1250/304/PR/210324/006726 registration number",Soukya Road,12124750,"[2, 3]",1003,12088.48,East,0.495054213429713,5.04273287416964,9,9,7.5,9.5,0,15,0.516605166051661,44.3,60.1,52.2
Inspira Winds of Life,https://www.99acres.com/inspira-winds-of-life-sarjapur-road-bangalore-east-npxid-r446488,"in Sarjapur Road, Bangalore",₹1.51 - 2.19 Cr,3 BHK Apartment,Inspira Builders Bangalore,"Choose your dream home from the wide variety of 3 BHK apartments in Sarjapur Road, available for sale in Inspira Winds of Life. The housing society is RERA-registered with PRM/KA/RERA/1251/308/PR/170625/007842 registration number. Apartments in this complex are available in price range of Rs. 1.51 - 2.19 Cr. Apartments in Inspira Winds of Life have SUPER area ranging between 1,753 - 2,552 sqft",Sarjapur,18500000,[3],2552,7249.22,East,5.40596664764441,8.13160698866338,9,9,7.5,9.5,0,272,10,64.6,82.1,73.4
SSVR Niyaara,https://www.99acres.com/ssvr-niyaara-varthur-bangalore-east-npxid-r422935,"in Varthur, Bangalore","₹1.11 - 1.16 Cr, ₹1.32 - 1.53 Cr","2, 3 BHK Apartment",SSVR Builders,"SSVR Niyaara society now offers elegantly built 2,3 BHK apartments in Varthur. SSVR Niyaara has apartments in multiple configurations, in range of 1,185 - 1,635 sqft. SSVR Niyaara is a RERA- registered society and PRM/KA/RERA/1251/446/PR/160224/006626 is the RERA registration number. Apartments in this complex are available in price range of Rs. 1.11 - 1.53 Cr",Varthur,12800000,"[2, 3]",1635,7828.75,East,2.49873184959736,7.76169604864929,9,9,7.5,9.5,0,84,3.06273062730627,54,70.7,62.4
Landmark ASHRAYA,https://www.99acres.com/landmark-ashraya-doddaballapur-road-bangalore-north-npxid-r456747,"in Doddaballapur Road, Bangalore",₹8.99 - 23.98 L,Land,Landmark Properties Karnataka,,Doddaballapur,1648500,[],2400,686.88,North,4.92406949464207,10,5,5,8,9.3,0,10,0.33210332103321,55.7,65.5,60.6
Siddartha Solitaire,https://www.99acres.com/siddartha-solitaire-hosa-road-bangalore-south-npxid-r306151,"in Hosa Road, Bangalore","₹96.29 L - 1.06 Cr, ₹1.24 - 1.27 Cr","2, 3 BHK Apartment",Siddartha Builders,"Spacious 2,3 BHK apartments in Hosa Road are available for sale.Check out latest property options at Siddartha Solitaire housing society. Siddartha Solitaire apartments are available in multiples sizes, ranging from 1,075 - 1,400 sqft SUPER area. Siddartha Solitaire 's RERA registration number is PRM/KA/RERA/1251/310/PR/180507/001653. Prices of apartments in this project, vary between Rs. 96.29 L - 1.27 Cr",Hosa Road,11332250,"[2, 3]",1400,8094.46,South,1.75369348804768,7.59209475817056,9,9,9.2,8.2,0,24,0.848708487084871,54.6,62.5,58.6
Concorde Antares,https://www.99acres.com/concorde-antares-vidyaranyapura-bangalore-north-npxid-r420343,"in Vidyaranyapura, Bangalore","₹90 L - 1.24 Cr, ₹1.16 - 1.72 Cr","2, 3 BHK Apartment",Concorde,"Looking for your dream home? Explore 2,3 BHK apartments in Vidyaranyapura, now available in Concorde Antares. Apartments in this complex are available in price range of Rs. 90 L - 1.72 Cr. Apartments in Concorde Antares have CARPET area ranging between 717 - 1,374 sqft. Concorde Antares 's RERA registration number is PRM/KA/RERA/1251/309/PR/181223/006491",Vidyaranyapura,12550000,"[2, 3]",1374,9133.92,North,1.67126371187623,6.92861292684683,9,9,8,9.3,0,6,0.18450184501845,51.3,63.6,57.4
Trendcon Aurelius Phase 1,https://www.99acres.com/trendcon-aurelius-phase-1-varthur-bangalore-east-npxid-r420603,"in Varthur, Bangalore","₹2.88 - 2.92 Cr, ₹3.53 - 3.68 Cr","4, 5 BHK Villa",Trendcon Infra,"Buy 4,5 BHK Villa for sale in Varthur in a gated society by Trendcon Aurelius Phase 1. Villas here are available in the price range of Rs. 2.88 - 3.68 Cr. Villas in Trendcon Aurelius Phase 1 are Under Construction. Swimming Pool, Gymnasium and Club House are some of the major amenities offered here",Varthur,32525000,"[4, 5]",2250,14455.56,East,4.44851309365291,3.53183820454333,10,6,7.5,9.5,3.5,84,3.06273062730627,62.6,59.2,60.9
